Date,Open,High,Low,Close,Adj Close,Volume
2023-07-27,19850.900391,19867.550781,19603.550781,19659.900391,19659.900391,334900
2023-07-28,19659.75,19695.900391,19563.099609,19646.050781,19646.050781,258700
2023-07-31,19666.349609,19772.75,19597.599609,19753.800781,19753.800781,295100
2023-08-01,19784,19795.599609,19704.599609,19733.550781,19733.550781,298000
2023-08-02,19655.400391,19678.25,19423.550781,19526.550781,19526.550781,290700
2023-08-03,19463.75,19537.650391,19296.449219,19381.650391,19381.650391,315700
2023-08-04,19462.800781,19538.849609,19436.449219,19517,19517,280800
2023-08-07,19576.849609,19620.449219,19524.800781,19597.300781,19597.300781,216600
2023-08-08,19627.199219,19634.400391,19533.099609,19570.849609,19570.849609,260300
2023-08-09,19578.800781,19645.5,19467.5,19632.550781,19632.550781,266500
2023-08-10,19605.550781,19623.599609,19495.400391,19543.099609,19543.099609,312200
2023-08-11,19554.25,19557.75,19412.75,19428.300781,19428.300781,235500
2023-08-14,19383.949219,19465.849609,19257.900391,19434.550781,19434.550781,243900
2023-08-16,19369,19482.75,19317.199219,19465,19465,0
2023-08-17,19450.550781,19461.550781,19326.25,19365.25,19365.25,268700
2023-08-18,19301.75,19373.800781,19253.599609,19310.150391,19310.150391,256100
2023-08-21,19320.650391,19425.949219,19296.300781,19393.599609,19393.599609,262600
2023-08-22,19417.099609,19443.5,19381.300781,19396.449219,19396.449219,208700
2023-08-23,19439.199219,19472.050781,19366.599609,19444,19444,225200
2023-08-24,19535.150391,19584.449219,19369,19386.699219,19386.699219,268300
2023-08-25,19297.400391,19339.550781,19229.699219,19265.800781,19265.800781,466500
2023-08-28,19298.349609,19366.849609,19249.699219,19306.050781,19306.050781,248200
2023-08-29,19374.849609,19377.900391,19309.099609,19342.650391,19342.650391,307400
2023-08-30,19433.449219,19452.800781,19334.75,19347.449219,19347.449219,233000
2023-08-31,19375.550781,19388.199219,19223.650391,19253.800781,19253.800781,562600
2023-09-01,19258.150391,19458.550781,19255.699219,19435.300781,19435.300781,333000
2023-09-04,19525.050781,19545.150391,19432.849609,19528.800781,19528.800781,296800
2023-09-05,19564.650391,19587.050781,19525.75,19574.900391,19574.900391,256800
2023-09-06,19581.199219,19636.449219,19491.5,19611.050781,19611.050781,287600
2023-09-07,19598.650391,19737,19550.050781,19727.050781,19727.050781,304900
2023-09-08,19774.800781,19867.150391,19727.050781,19819.949219,19819.949219,288100
2023-09-11,19890,20008.150391,19865.349609,19996.349609,19996.349609,248800
2023-09-12,20110.150391,20110.349609,19914.650391,19993.199219,19993.199219,328100
2023-09-13,19989.5,20096.900391,19944.099609,20070,20070,251400
2023-09-14,20127.949219,20167.650391,20043.449219,20103.099609,20103.099609,275100
2023-09-15,20156.449219,20222.449219,20129.699219,20192.349609,20192.349609,438200
2023-09-18,20155.949219,20195.349609,20115.699219,20133.300781,20133.300781,264900
2023-09-20,19980.75,20050.650391,19878.849609,19901.400391,19901.400391,378100
2023-09-21,19840.550781,19848.75,19709.949219,19742.349609,19742.349609,275100
2023-09-22,19744.849609,19798.650391,19657.5,19674.25,19674.25,246400
2023-09-25,19678.199219,19734.150391,19601.550781,19674.550781,19674.550781,188400
2023-09-26,19682.800781,19699.349609,19637.449219,19664.699219,19664.699219,204900
2023-09-27,19637.050781,19730.699219,19554,19716.449219,19716.449219,203600
