trailingPE,priceToBook,trailingEps,debtToEquity,currentPrice,symbol
11.56639,1.5375494,4.82,8.75004,55.75,IRFC.NS
143.31578,1.7671261,0.95,0.20328,136.15,BHEL.NS
22.623007,2.6047254,45.73,0.27563,1034.55,DCMSHRIRAM.NS
72.77451,13.511254,37.43,0.23117,2723.95,MTARTECH.NS
13.887097,1.0103973,6.2,1.41435,86.1,JMFINANCIL.NS
16.566206,1.7045571,10.12,0.07072,167.65,BALMLAWRIE.NS
44.229233,11.1188135,45.15,1.45731,1996.95,PGEL.NS
14.279386,2.4981399,16.93,0.40081,241.75,SARDAEN.NS
48.888885,4.713163,0.81,0.34386,39.6,TRIDENT.NS
42.94164,5.045217,6.34,0.06867,272.25,EIHOTEL.NS
62.210094,4.490189,29.32,0.00075,1824,MCX.NS
74.92739,11.658645,197.63,0.02712,14807.9,ZFCVINDIA.NS
59.033722,7.723832,7.71,0.01777,455.15,LATENTVIEW.NS
25.546217,1.3722128,1.19,1.25184,30.4,IRB.NS
25.313316,0.73054576,3.83,0.56211,96.95,SAIL.NS
87.28889,7.4112506,9,0.03538,785.6,PARAS.NS
25.64516,2.4572113,2.48,1.82118,63.6,PAISALO.NS
6.5842586,1.6906773,19.82,0.01867,130.5,NMDC.NS
28.95996,4.3092546,10.24,0.01648,296.55,IPL.NS
59.95454,21.91758,1.1,0.28005,65.95,MSUMI.NS
4.133506,1.595079,150.78,0.07539,623.25,WSTCSTPAPR.NS
42.179295,9.339477,39.6,1.19303,1670.3,GMMPFAUDLR.NS
14.242957,1.228898,8.52,0.27364,121.35,GAIL.NS
19.67283,3.9434292,7.03,0.87935,138.3,RVNL.NS
55.331127,7.7504644,3.02,0.0788,167.1,HINDCOPPER.NS
29.559074,5.116407,11.68,0.44827,345.25,MINDACORP.NS
8.163362,1.0503359,10.59,1.25232,86.45,CESC.NS
18.043655,3.4658482,111.1,0.0313,2004.65,FIEMIND.NS
12.917132,1.5223703,17.86,1.46817,230.7,NTPC.NS
82.49428,17.386063,4.37,0.35855,360.5,JWL.NS
13.312258,1.2413149,10.28,1.26708,136.85,NLCINDIA.NS
40.012375,8.9998045,8.08,0.96085,323.3,GUFICBIO.NS
24.970068,4.470996,45.1,0.00001,1126.15,BSE.NS
25.28075,3.0773988,3.74,0.46166,94.55,CONFIPET.NS
39.46418,5.8851314,16.89,0.76545,666.55,CARYSIL.NS
18.757687,5.196974,8.13,0.17978,152.5,MANINFRA.NS
33.334957,5.4534698,51.29,0.35259,1709.75,CYIENT.NS
14.924127,1.3736417,6.59,0.00797,98.35,NATIONALUM.NS
44.51282,3.3283486,3.9,0.97143,173.6,CAMLINFINE.NS
40.425953,3.355015,7.63,0.66009,308.45,HIKAL.NS
33.270454,0.8749752,22,0.09717,731.95,GUJALKALI.NS
46.74552,8.665813,7.82,0.03,365.55,JYOTHYLAB.NS
140.60434,17.787867,46.58,0.00702,6549.35,LINDEINDIA.NS
37.428978,14.710808,3.52,0.01764,131.75,IEX.NS
4.1786056,4.36061,10.47,0.14347,43.75,MMTC.NS
37.6371,4.427642,6.2,0.36973,233.35,HSCL.NS
39.736004,13.26288,28.22,0.04863,1121.35,PRUDENT.NS
54.50178,3.0807452,19.67,0.26227,1072.05,CENTURYTEX.NS
7.6625657,0.64810544,5.69,0.00848,43.6,DEN.NS
11.521739,0.92749226,1.38,0.90268,15.9,IFCI.NS
23.255922,2.7177038,10.98,1.5096,255.35,TATAPOWER.NS
105.02232,1.8778087,2.24,0.87541,235.25,SAGCEM.NS
62.870853,8.087146,5.73,0.30812,360.25,OPTIEMUS.NS
9.174167,1.1118705,116.67,0.00706,1070.35,MAITHANALL.NS
6.074532,0.81471187,29.92,0.49734,181.75,ONGC.NS
92.60593,11.847439,26.67,0.00213,2469.8,DATAPATTNS.NS
13.818393,2.1399338,8.59,0.288,118.7,IRCON.NS
21.246126,4.6077933,51.6,0.00273,1096.3,CAPLIPOINT.NS
34.271534,4.1811156,25.19,2.65677,863.3,HOMEFIRST.NS
18.473503,3.1533303,8.68,0.25013,160.35,NAVNETEDUL.NS
41.999203,5.9272594,12.58,0.04159,528.35,BSOFT.NS
54.62976,11.287948,57.8,0.01251,3157.6,SCHAEFFLER.NS
24.11681,1.8713592,14.04,0.69398,338.6,WELCORP.NS
9.009023,1.5696105,62.06,0.05115,559.1,MAHSEAMLES.NS
57.820515,3.1430564,4.29,0.11028,248.05,FINPIPE.NS
34.476273,2.9513273,23.39,1.22154,806.4,JSWSTEEL.NS
67.47458,3.303049,5.9,0.01188,398.1,TINPLATE.NS
16.237713,2.1822155,11.19,0.87192,181.7,INDUSTOWER.NS
33.419735,2.5530474,5.98,0.24837,199.85,ORIENTCEM.NS
27.331608,4.9015055,1.93,0.00021,52.75,NBCC.NS
9.586357,7.7601805,34.45,1.41753,330.25,ADANIPOWER.NS
32.283024,34.772488,57.38,5.55141,1852.4,TATACOMM.NS
35.84086,1.9051019,26.58,0.09206,952.65,TATAMETALI.NS
5.702208,1.8215381,50.27,0.32327,286.65,WELENT.NS
33.410152,2.739863,19.31,0.04397,645.15,KRSNAA.NS
68.49505,15.952148,25.25,0.29046,1729.5,APLAPOLLO.NS
95.52631,1.5063133,1.33,0.80716,127.05,TATASTEEL.NS
38.02308,5.050862,271.71,0.02018,10331.25,MARUTI.NS
45.2921,9.579182,122.39,0.13895,5543.3,PERSISTENT.NS
71.538185,14.607123,41.77,0.22726,2988.15,TIINDIA.NS
11.427277,2.1204503,22.07,1.56871,252.2,POWERGRID.NS
10.510968,1.131869,37.38,0.17892,392.9,IMFA.NS
14.264942,2.8071988,68.43,0.22417,976.15,SURYAROSNI.NS
35.864277,8.087273,23.43,3.20773,840.3,SBICARD.NS
5.3476295,2.5503557,44.3,0.07466,236.9,COALINDIA.NS
32.78443,5.9630775,16.7,0.31888,547.5,APCOTEXIND.NS
21.186869,3.402133,7.92,0.41374,167.8,FSL.NS
14.514182,1.7280527,33.14,0.15375,481,SHYAMMETL.NS
64.00674,7.9297547,5.94,0.42661,380.2,CHOICEIN.NS
12.483514,1.1090021,37.91,0.69533,473.25,HINDALCO.NS
1030.965,5.5375733,1.14,1.30592,1175.3,PRIVISCL.NS
