trailingPE,averageVolume,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,enterpriseValue,profitMargins,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,netIncomeToCommon,trailingEps,enterpriseToRevenue,totalCash,totalCashPerShare,totalDebt,totalRevenue,debtToEquity,earningsGrowth,revenueGrowth,ebitdaMargins,operatingMargins,currentPrice
11.56639,81954343,728713789440,20.8,56.5,11.401599,4755664928768,0.97507006,13068499968,0.86364,0.023710001,36.259,1.5375494,62320070656,4.82,74.408,10975550464,0.846,4115473629184,63913299968,875.004,-0.055,-0.057,0,0.97507006,55.75
22.61806,145016,161329807360,730.2,1121,1.4058373,155334475776,0.06217,155942000,0.78966004,0.094060004,397.182,2.6047254,7134600192,45.74,1.354,9102699520,58.372,17071699968,114757099520,27.563,-0.777,-0.025,0.11404,0.09288,1034.55
72.77451,464385,83787612160,1473,2815,13.188544,76592054272,0.16927,30759600,0.39444,0.27743998,201.606,13.511254,1075389952,37.43,12.056,586979968,19.083,1433539968,6353059840,23.117,0.254,0.676,0.25609,0.22603,2723.95
13.887097,4126057,82234449920,57.85,86.9,3.867745,187537768448,0.27899,955104000,0.27544,0.54139,85.214,1.0103973,5931800064,6.2,8.82,76569403392,80.194,159394594816,21261600768,141.435,-0.022,0.11,0,0.43438998,86.1
16.566206,868426,28668819456,107.7,169.1,1.265296,23603912704,0.07637,171004000,0.63379,0.03391,98.354,1.7045571,1730352000,10.12,1.042,4478419968,26.178,1210712960,22657796096,7.072,0.021,-0.086,0.09243,0.06543,167.65
44.229233,61979,45569400832,879,2143.95,1.9805633,49871806464,0.04123,22819500,0.63724,0.04718,179.601,11.1188135,948736000,45.15,2.168,396267008,17.407,5769890816,23008303104,145.731,1.052,0.266,0.08963,0.07282,1996.95
48.888885,15486989,201800007680,25.05,41.9,3.283399,192545325056,0.06586,5095960064,0.77415,0.020680001,8.402,4.713163,4047899904,0.81,3.133,3530200064,0.718,14421900288,61460701184,34.386,-0.269,-0.111,0.1425,0.09528,39.6
42.94164,1155686,170255335424,150.35,274.95,7.8160305,169621045248,0.16320999,625363968,0.71236,0.14829001,53.962,5.045217,3620090112,6.34,7.787,3992169984,6.384,2384059904,21782839296,6.867,0.66,0.267,0.32959998,0.27918,272.25
62.210094,534208,93021077504,1156,1844.4,14.78097,69184716800,0.20207001,50998400,0.16198,0.59789,406.219,4.490189,1271699968,29.32,10.993,13802600448,270.997,15500000,6293300224,0.075,-0.526,0.408,0.30793,0.26983,1824
74.92739,7264,280870322176,8638.55,15134.05,7.7746787,268869910528,0.09827,18967600,0.75258005,0.1577,1270.122,11.658645,3550036992,197.63,7.442,12653628416,667.119,653451008,36126294016,2.712,0.598,0.211,0.13633001,0.1116,14807.9
59.033722,1183104,93326688256,310.45,458.1,16.341225,79436472320,0.27457002,204902000,0.77741,0.02118,58.928,7.723832,1568130048,7.71,13.909,8066180096,39.366,214610000,5711119872,1.777,0.046,0.231,0.24212,0.23443002,455.15
